FlowID,FlowType,Src,Dst,FlowSize,Create,NotifTime,GrantTime,Start,Finish,FCT,Slowdown,Xput
1,1,120,127,24,264,264,-1,264,300,36,1.03,100.00
0,3,75,93,5840,27,27,60,61,823,796,1.04,100.00
2,1,49,25,24,1036,1036,-1,1036,1072,36,1.03,100.00
3,1,18,41,24,1157,1157,-1,1157,1193,36,1.03,100.00
5,1,13,52,24,1258,1258,-1,1258,1294,36,1.03,100.00
6,1,14,88,24,1701,1701,-1,1701,1737,36,1.03,100.00
1001,2,25,49,5840,1070,1036,1069,1070,1832,762,1.00,100.00
1002,2,41,18,5840,1191,1157,1190,1191,1953,762,1.00,100.00
4,3,10,113,5840,1186,1186,1219,1220,1982,796,1.04,100.00
1003,2,52,13,5840,1292,1258,1291,1292,2054,762,1.00,100.00
9,1,129,27,24,2031,2031,-1,2031,2067,36,1.03,100.00
10,1,100,65,24,2035,2035,-1,2035,2071,36,1.03,100.00
12,1,87,123,24,2136,2136,-1,2136,2172,36,1.03,100.00
7,3,44,89,5840,1900,1900,1933,1934,2696,796,1.04,100.00
8,3,14,70,5840,2002,2002,2035,2036,2798,796,1.04,100.00
1005,2,27,129,5840,2065,2031,2064,2065,2827,762,1.00,100.00
1006,2,65,100,5840,2069,2035,2068,2069,2831,762,1.00,100.00
11,3,99,48,5840,2081,2081,2114,2115,2877,796,1.04,100.00
16,1,70,111,24,2855,2855,-1,2855,2891,36,1.03,100.00
1007,2,123,87,5840,2170,2136,2169,2170,2933,763,1.00,100.00
18,1,24,42,24,3294,3294,-1,3294,3330,36,1.03,100.00
13,3,2,45,5840,2584,2584,2617,2618,3380,796,1.04,100.00
14,3,75,113,5840,2737,2737,2770,2771,3533,796,1.04,100.00
1008,2,111,70,5840,2889,2855,2888,2889,3651,762,1.00,100.00
20,1,42,113,24,3727,3727,-1,3727,3763,36,1.03,100.00
21,1,99,61,24,3864,3864,-1,3864,3900,36,1.03,100.00
17,3,52,26,5840,3178,3178,3211,3212,3974,796,1.04,100.00
24,1,121,36,24,3953,3953,-1,3953,3992,39,1.11,100.00
25,1,42,112,24,3987,3987,-1,3987,4022,35,1.00,100.00
1009,2,42,24,5840,3328,3294,3327,3328,4096,768,1.01,100.00
19,3,35,36,5840,3536,3536,3569,3570,4336,800,1.05,100.00
28,1,58,98,24,4482,4482,-1,4482,4518,36,1.03,100.00
1010,2,113,42,5840,3761,3727,3760,3761,4523,762,1.00,100.00
1011,2,61,99,5840,3898,3864,3897,3898,4660,762,1.00,100.00
22,3,116,125,5840,3904,3904,3937,3938,4700,796,1.04,100.00
1012,2,36,121,5840,3987,3953,3986,3987,4749,762,1.00,100.00
26,3,131,93,5840,4165,4165,4198,4199,4961,796,1.04,100.00
29,1,17,127,24,5025,5025,-1,5025,5060,35,1.00,100.00
31,1,121,119,24,5127,5127,-1,5127,5166,39,1.11,100.00
1013,2,112,42,5840,4508,3987,4507,4508,5270,762,1.00,100.00
1014,2,98,58,5840,4516,4482,4515,4516,5278,762,1.00,100.00
32,1,70,63,24,5262,5262,-1,5262,5298,36,1.03,100.00
34,1,114,26,24,5545,5545,-1,5545,5581,36,1.03,100.00
36,1,138,87,24,5833,5833,-1,5833,5868,35,1.00,100.00
30,3,47,119,5840,5084,5084,5117,5118,5884,800,1.05,100.00
1015,2,119,121,5840,5161,5127,5160,5161,5923,762,1.00,100.00
