FlowID,Type,Src,Dst,FlowSize,FCT,Slowdown,Xput
4301,0,36,53,24,1597,1.00,100.00
871,0,37,10,24,1597,1.00,100.00
2048,0,23,7,24,1597,1.00,100.00
808,0,19,37,10704,2932,1.00,100.00
413,0,13,25,138600,20238,1.07,100.00
1296,0,52,57,4624,2172,1.00,100.00
3244,0,51,30,7784,2567,1.00,100.00
2587,0,17,56,4624,2172,1.00,100.00
1161,0,60,44,24,1597,1.00,100.00
4240,0,22,23,11824,3072,1.00,100.00
306,0,47,22,4624,2172,1.00,100.00
1138,0,46,3,24,1597,1.00,100.00
3771,0,44,30,12280,3129,1.00,100.00
3940,0,17,54,43120,8303,1.19,100.00
4365,0,27,45,24,1597,1.00,100.00
3051,0,25,8,4624,2172,1.00,100.00
2616,0,44,15,12144,3112,1.00,100.00
752,0,33,40,9240,2749,1.00,100.00
4831,0,26,52,24,1597,1.00,100.00
2487,0,38,4,341264,45571,1.03,100.00
4997,0,21,9,18304,5201,1.34,100.00
3436,0,44,1,4624,2172,1.00,100.00
5057,0,14,41,4624,2172,1.00,100.00
5424,0,63,18,4936,2211,1.00,100.00
361,0,48,42,24,1597,1.00,100.00
5490,0,19,48,24,1597,1.00,100.00
4536,0,23,54,13896,3331,1.00,100.00
3483,0,9,20,24,1597,1.00,100.00
3166,0,58,53,24,1597,1.00,100.00
5313,0,48,46,24,1597,1.00,100.00
4425,0,17,8,4624,2172,1.00,100.00
1522,0,42,32,12904,3207,1.00,100.00
2282,0,6,39,116816,17515,1.08,100.00
5386,0,41,59,7984,2592,1.00,100.00
6081,0,4,7,24,1597,1.00,100.00
2209,0,0,34,63000,10788,1.14,100.00
859,0,13,31,73920,12153,1.12,100.00
4744,0,50,43,24,1597,1.00,100.00
974,0,34,35,20848,5519,1.31,100.00
3323,0,52,61,24,1597,1.00,100.00
3255,0,24,14,6368,2390,1.00,100.00
704,0,17,41,69304,11576,1.13,100.00
5075,0,39,29,24,1597,1.00,100.00
3937,0,7,8,4624,2172,1.00,100.00
4878,0,56,1,7512,2533,1.00,100.00
2541,0,26,5,24,1597,1.00,100.00
1211,0,0,43,5088,2230,1.00,100.00
3381,0,47,38,24,1597,1.00,100.00
4256,0,60,26,17152,5057,1.35,100.00
1952,0,49,41,24,1597,1.00,100.00
3794,0,45,56,9656,2801,1.00,100.00
3127,0,7,29,24,1597,1.00,100.00
4596,0,35,2,24,1597,1.00,100.00
2719,0,41,0,5584,2292,1.00,100.00
2386,0,9,49,24,1597,1.00,100.00
257,0,26,28,69304,11576,1.13,100.00
2845,0,59,50,24,1597,1.00,100.00
2665,0,29,21,22048,5669,1.30,100.00
1011,0,27,63,24,1597,1.00,100.00
4606,0,21,32,42688,8249,1.19,100.00
1115,0,35,39,5720,2309,1.00,100.00
1729,0,31,38,24,1597,1.00,100.00
900,0,57,62,4624,2172,1.00,100.00
3329,0,27,17,9240,2749,1.00,100.00
177,0,24,63,4624,2172,1.00,100.00
3230,0,62,26,4624,2172,1.00,100.00
5193,0,43,20,8424,2647,1.00,100.00
833,0,19,6,4624,2172,1.00,100.00
447,0,2,32,24,1597,1.00,100.00
1137,0,41,34,24,1597,1.00,100.00
5115,0,19,52,4624,2172,1.00,100.00
4107,0,39,18,30936,6780,1.24,100.00
1567,0,21,36,7248,2500,1.00,100.00
1411,0,54,53,24,1597,1.00,100.00
3416,0,61,59,37432,7592,1.21,100.00
618,0,24,32,4888,2205,1.00,100.00
4510,0,58,5,6944,2462,1.00,100.00
4506,0,8,53,15352,3513,1.00,100.00
4212,0,59,53,4624,2172,1.00,100.00
3446,0,33,60,4624,2172,1.00,100.00
452,0,13,32,11704,3057,1.00,100.00
2524,0,11,2,18464,5221,1.34,100.00
4968,0,61,16,24,1597,1.00,100.00
3173,0,46,0,4624,2172,1.00,100.00
2478,0,5,4,5456,2276,1.00,100.00
2040,0,32,20,4944,2212,1.00,100.00
5939,0,62,11,6232,2373,1.00,100.00
2476,0,44,52,24,1597,1.00,100.00
1677,0,23,2,24,1597,1.00,100.00
785,0,8,7,4624,2172,1.00,100.00
2115,0,14,40,69304,11576,1.13,100.00
3045,0,9,35,24,1597,1.00,100.00
5833,0,61,10,24,1597,1.00,100.00
3591,0,41,15,4624,2172,1.00,100.00
2241,0,12,20,24,1597,1.00,100.00
5656,0,27,57,4624,2172,1.00,100.00
3982,0,17,9,24,1597,1.00,100.00
285,0,32,2,7680,2554,1.00,100.00
5216,0,53,54,5312,2258,1.00,100.00
1866,0,49,20,24,1597,1.00,100.00
1348,0,62,38,14496,3406,1.00,100.00
2104,0,41,54,221760,30633,1.04,100.00
4473,0,0,58,24,1597,1.00,100.00
2785,0,3,57,4624,2172,1.00,100.00
1468,0,14,61,4624,2172,1.00,100.00
5959,0,27,39,4624,2172,1.00,100.00
329,0,62,61,8600,2669,1.00,100.00
567,0,6,34,24,1597,1.00,100.00
4248,0,35,25,24,1597,1.00,100.00
3179,0,6,2,4624,2172,1.00,100.00
312,0,5,60,24,1597,1.00,100.00
1188,0,16,46,24,1597,1.00,100.00
5360,0,31,30,5808,2320,1.00,100.00
575,0,16,40,24,1597,1.00,100.00
3197,0,14,43,27848,6394,1.26,100.00
2574,0,41,35,24,1597,1.00,100.00
2479,0,26,41,24,1597,1.00,100.00
1303,0,59,55,24,1597,1.00,100.00
1842,0,33,26,15520,3534,1.00,100.00
2098,0,57,17,24,1597,1.00,100.00
4548,0,26,53,4624,2172,1.00,100.00
1320,0,19,11,4624,2172,1.00,100.00
417,0,55,30,24,1597,1.00,100.00
5429,0,31,9,24,1597,1.00,100.00
1212,0,38,3,69304,11576,1.13,100.00
6032,0,4,5,24,1597,1.00,100.00
3028,0,53,23,24,1597,1.00,100.00
5355,0,45,48,4624,2172,1.00,100.00
2597,0,3,12,7696,2556,1.00,100.00
