Nodes initialized
ToRs initialized
Links initialized
Running with a link bandwidth of: 100.000000Gbps
Running with a slot length of 0.640000ns
SW delay: 500.000000 ns (781 timeslots)
Per hop propagation delay: 10.000000 ns (16 timeslots)
Bytes sent per timeslot 8
Opening tracefile mix_memcached0.2_dctcp0.8.csv
initialized flow 0 (0, -1), src 21 dst 24, flow_size 52560B (6570) ts 820213
initialized flow 1 (1, 999), src 32 dst 8, flow_size 1460B (182) ts 10949
initialized flow 2 (0, -1), src 2 dst 48, flow_size 48180B (6022) ts 293605
initialized flow 3 (1, 999), src 24 dst 18, flow_size 1460B (182) ts 34274
initialized flow 4 (1, 0), src 12 dst 46, flow_size 24B (3) ts 37341
initialized flow 5 (0, -1), src 35 dst 1, flow_size 46720B (5840) ts 1482578
initialized flow 6 (1, 999), src 13 dst 32, flow_size 1460B (182) ts 30365
initialized flow 7 (0, -1), src 11 dst 27, flow_size 20511540B (2563942) ts 81251
initialized flow 8 (1, 0), src 45 dst 13, flow_size 24B (3) ts 39355
initialized flow 9 (0, -1), src 23 dst 2, flow_size 26280B (3285) ts 162129
initialized flow 10 (1, 0), src 37 dst 32, flow_size 24B (3) ts 12658
initialized flow 11 (1, 0), src 56 dst 19, flow_size 24B (3) ts 17817
initialized flow 12 (1, 999), src 26 dst 17, flow_size 1460B (182) ts 9975
initialized flow 13 (0, -1), src 9 dst 20, flow_size 1013240B (126655) ts 782243
initialized flow 14 (0, -1), src 44 dst 12, flow_size 42340B (5292) ts 1829846
initialized flow 15 (1, 0), src 2 dst 27, flow_size 24B (3) ts 33326
initialized flow 16 (0, -1), src 11 dst 6, flow_size 1259980B (157497) ts 73792
initialized flow 17 (1, 0), src 11 dst 25, flow_size 24B (3) ts 10780
initialized flow 18 (1, 0), src 54 dst 21, flow_size 24B (3) ts 42825
initialized flow 19 (0, -1), src 2 dst 53, flow_size 3578460B (447307) ts 1696292
initialized flow 20 (0, -1), src 1 dst 3, flow_size 788400B (98550) ts 402053
initialized flow 21 (1, 999), src 11 dst 52, flow_size 2920B (365) ts 15120
initialized flow 22 (0, -1), src 45 dst 48, flow_size 1131500B (141437) ts 501115
initialized flow 23 (1, 999), src 5 dst 33, flow_size 2920B (365) ts 2116
initialized flow 24 (1, 999), src 30 dst 47, flow_size 1460B (182) ts 54159
initialized flow 25 (1, 999), src 13 dst 29, flow_size 8760B (1095) ts 12424
initialized flow 26 (0, -1), src 62 dst 60, flow_size 8760B (1095) ts 707760
initialized flow 27 (0, -1), src 0 dst 49, flow_size 10220B (1277) ts 1093168
initialized flow 28 (0, -1), src 56 dst 52, flow_size 1086240B (135780) ts 1089836
initialized flow 29 (1, 0), src 9 dst 62, flow_size 24B (3) ts 48581
initialized flow 30 (1, 0), src 59 dst 16, flow_size 24B (3) ts 24161
initialized flow 31 (1, 999), src 41 dst 30, flow_size 1460B (182) ts 11683
initialized flow 32 (1, 0), src 24 dst 45, flow_size 24B (3) ts 24048
initialized flow 33 (1, 999), src 1 dst 43, flow_size 1460B (182) ts 14591
initialized flow 34 (0, -1), src 46 dst 9, flow_size 103660B (12957) ts 1531540
initialized flow 35 (1, 0), src 4 dst 61, flow_size 24B (3) ts 46889
initialized flow 36 (0, -1), src 11 dst 25, flow_size 713940B (89242) ts 362169
initialized flow 37 (1, 999), src 60 dst 44, flow_size 1460B (182) ts 35386
initialized flow 38 (0, -1), src 46 dst 0, flow_size 73000B (9125) ts 375534
initialized flow 39 (0, -1), src 15 dst 17, flow_size 8760B (1095) ts 306309
initialized flow 40 (0, -1), src 37 dst 42, flow_size 1556360B (194545) ts 454143
initialized flow 41 (1, 0), src 18 dst 36, flow_size 24B (3) ts 28771
initialized flow 42 (1, 999), src 39 dst 15, flow_size 1460B (182) ts 51441
initialized flow 43 (1, 999), src 19 dst 40, flow_size 2920B (365) ts 16283
initialized flow 44 (1, 999), src 6 dst 54, flow_size 2920B (365) ts 18941
initialized flow 45 (1, 0), src 43 dst 60, flow_size 24B (3) ts 21214
initialized flow 46 (1, 0), src 56 dst 28, flow_size 24B (3) ts 21651
initialized flow 47 (0, -1), src 37 dst 14, flow_size 1613300B (201662) ts 1388015
initialized flow 48 (0, -1), src 63 dst 28, flow_size 54020B (6752) ts 1360467
initialized flow 49 (1, 0), src 18 dst 21, flow_size 24B (3) ts 24218
initialized flow 50 (0, -1), src 40 dst 0, flow_size 43800B (5475) ts 551587
initialized flow 51 (1, 999), src 16 dst 1, flow_size 1460B (182) ts 43948
initialized flow 52 (1, 999), src 55 dst 27, flow_size 1460B (182) ts 10272
initialized flow 53 (0, -1), src 17 dst 24, flow_size 1984140B (248017) ts 353307
initialized flow 54 (1, 999), src 55 dst 40, flow_size 1460B (182) ts 2745
initialized flow 55 (1, 999), src 3 dst 50, flow_size 4380B (547) ts 30318
initialized flow 56 (1, 999), src 63 dst 0, flow_size 1460B (182) ts 14687
initialized flow 57 (0, -1), src 26 dst 17, flow_size 24820B (3102) ts 335142
initialized flow 58 (0, -1), src 15 dst 11, flow_size 1962240B (245280) ts 1508121
initialized flow 59 (0, -1), src 52 dst 17, flow_size 26280B (3285) ts 500502
initialized flow 60 (1, 999), src 19 dst 1, flow_size 1460B (182) ts 52654
initialized flow 61 (0, -1), src 16 dst 40, flow_size 1496500B (187062) ts 97581
initialized flow 62 (0, -1), src 12 dst 35, flow_size 2296580B (287072) ts 1148329
initialized flow 63 (0, -1), src 19 dst 20, flow_size 274480B (34310) ts 122115
initialized flow 64 (0, -1), src 49 dst 63, flow_size 3793080B (474135) ts 1821823
initialized flow 65 (0, -1), src 62 dst 9, flow_size 65700B (8212) ts 785712
initialized flow 66 (0, -1), src 57 dst 36, flow_size 1141720B (142715) ts 44399
initialized flow 67 (1, 999), src 53 dst 56, flow_size 1460B (182) ts 9770
initialized flow 68 (1, 0), src 55 dst 40, flow_size 24B (3) ts 26174
initialized flow 69 (1, 0), src 58 dst 19, flow_size 24B (3) ts 35770
initialized flow 70 (1, 0), src 34 dst 24, flow_size 24B (3) ts 25505
initialized flow 71 (0, -1), src 33 dst 43, flow_size 1632280B (204035) ts 1175514
initialized flow 72 (0, -1), src 10 dst 0, flow_size 96360B (12045) ts 1207792
initialized flow 73 (0, -1), src 56 dst 59, flow_size 37960B (4745) ts 249841
initialized flow 74 (0, -1), src 59 dst 19, flow_size 4866180B (608272) ts 1238553
initialized flow 75 (0, -1), src 48 dst 50, flow_size 2518500B (314812) ts 1012079
initialized flow 76 (0, -1), src 30 dst 1, flow_size 429240B (53655) ts 233934
initialized flow 77 (1, 999), src 3 dst 49, flow_size 2920B (365) ts 17854
initialized flow 78 (1, 0), src 10 dst 49, flow_size 24B (3) ts 396
initialized flow 79 (0, -1), src 17 dst 0, flow_size 26280B (3285) ts 880905
initialized flow 80 (0, -1), src 4 dst 54, flow_size 2417760B (302220) ts 1822304
initialized flow 81 (1, 999), src 5 dst 28, flow_size 1460B (182) ts 7615
initialized flow 82 (1, 999), src 35 dst 46, flow_size 1460B (182) ts 54220
initialized flow 83 (0, -1), src 1 dst 22, flow_size 51100B (6387) ts 404314
initialized flow 84 (1, 0), src 20 dst 15, flow_size 24B (3) ts 52089
initialized flow 85 (0, -1), src 31 dst 13, flow_size 8760B (1095) ts 108192
initialized flow 86 (1, 0), src 5 dst 39, flow_size 24B (3) ts 33441
initialized flow 87 (0, -1), src 36 dst 4, flow_size 1671700B (208962) ts 1622160
initialized flow 88 (1, 0), src 39 dst 8, flow_size 24B (3) ts 24916
initialized flow 89 (1, 0), src 22 dst 0, flow_size 24B (3) ts 42282
initialized flow 90 (1, 999), src 12 dst 55, flow_size 2920B (365) ts 16006
initialized flow 91 (1, 999), src 26 dst 29, flow_size 1460B (182) ts 6741
initialized flow 92 (0, -1), src 38 dst 29, flow_size 6098420B (762302) ts 280828
initialized flow 93 (1, 999), src 10 dst 50, flow_size 1460B (182) ts 19471
initialized flow 94 (0, -1), src 39 dst 56, flow_size 1638120B (204765) ts 1836865
initialized flow 95 (1, 999), src 57 dst 48, flow_size 7300B (912) ts 50508
initialized flow 96 (1, 0), src 4 dst 39, flow_size 24B (3) ts 21790
initialized flow 97 (0, -1), src 16 dst 59, flow_size 8760B (1095) ts 708721
initialized flow 98 (1, 999), src 26 dst 12, flow_size 1460B (182) ts 36241
initialized flow 99 (1, 999), src 10 dst 12, flow_size 2920B (365) ts 2421
initialized flow 100 (0, -1), src 19 dst 31, flow_size 3204700B (400587) ts 1302908
initialized flow 101 (1, 999), src 59 dst 19, flow_size 5840B (730) ts 36865
initialized flow 102 (1, 0), src 13 dst 28, flow_size 24B (3) ts 52720
initialized flow 103 (0, -1), src 8 dst 42, flow_size 7082460B (885307) ts 1240004
initialized flow 104 (0, -1), src 4 dst 11, flow_size 8760B (1095) ts 1576356
initialized flow 105 (1, 0), src 26 dst 8, flow_size 24B (3) ts 26845
initialized flow 106 (0, -1), src 11 dst 6, flow_size 8760B (1095) ts 1566037
initialized flow 107 (1, 999), src 9 dst 20, flow_size 2920B (365) ts 32098
initialized flow 108 (1, 0), src 55 dst 29, flow_size 24B (3) ts 20252
initialized flow 109 (1, 0), src 40 dst 38, flow_size 24B (3) ts 6356
initialized flow 110 (0, -1), src 17 dst 34, flow_size 8760B (1095) ts 325430
initialized flow 111 (0, -1), src 61 dst 31, flow_size 58400B (7300) ts 941477
initialized flow 112 (0, -1), src 38 dst 6, flow_size 37960B (4745) ts 1216721
initialized flow 113 (1, 999), src 9 dst 26, flow_size 94900B (11862) ts 40256
initialized flow 114 (1, 999), src 61 dst 44, flow_size 2920B (365) ts 14020
initialized flow 115 (0, -1), src 42 dst 52, flow_size 16060B (2007) ts 1348267
initialized flow 116 (1, 0), src 23 dst 59, flow_size 24B (3) ts 714
initialized flow 117 (1, 999), src 51 dst 55, flow_size 2920B (365) ts 3744
initialized flow 118 (1, 999), src 4 dst 44, flow_size 1460B (182) ts 3636
initialized flow 119 (1, 999), src 10 dst 8, flow_size 1460B (182) ts 12420
initialized flow 120 (1, 999), src 25 dst 51, flow_size 1460B (182) ts 23788
initialized flow 121 (1, 0), src 22 dst 42, flow_size 24B (3) ts 15916
initialized flow 122 (1, 999), src 15 dst 17, flow_size 2920B (365) ts 29942
initialized flow 123 (0, -1), src 19 dst 30, flow_size 8760B (1095) ts 180205
initialized flow 124 (1, 999), src 18 dst 39, flow_size 1460B (182) ts 38698
initialized flow 125 (0, -1), src 14 dst 6, flow_size 8760B (1095) ts 570391
initialized flow 126 (1, 999), src 15 dst 17, flow_size 1460B (182) ts 9117
initialized flow 127 (1, 0), src 47 dst 22, flow_size 24B (3) ts 26499
initialized flow 128 (1, 0), src 14 dst 6, flow_size 24B (3) ts 23383
initialized flow 129 (1, 999), src 57 dst 14, flow_size 1460B (182) ts 10659
initialized flow 130 (1, 0), src 15 dst 5, flow_size 24B (3) ts 51109
initialized flow 131 (0, -1), src 17 dst 54, flow_size 8760B (1095) ts 1487708
initialized flow 132 (1, 999), src 23 dst 2, flow_size 1460B (182) ts 34756
initialized flow 133 (1, 0), src 15 dst 27, flow_size 24B (3) ts 6021
initialized flow 134 (0, -1), src 48 dst 25, flow_size 18980B (2372) ts 1234717
initialized flow 135 (1, 999), src 31 dst 51, flow_size 2920B (365) ts 48800
initialized flow 136 (0, -1), src 4 dst 43, flow_size 176660B (22082) ts 1542100
initialized flow 137 (0, -1), src 63 dst 19, flow_size 20440B (2555) ts 609212
initialized flow 138 (0, -1), src 21 dst 62, flow_size 1001560B (125195) ts 989466
initialized flow 139 (1, 999), src 59 dst 20, flow_size 1460B (182) ts 40240
initialized flow 140 (1, 999), src 4 dst 50, flow_size 1460B (182) ts 49112
initialized flow 141 (1, 0), src 29 dst 14, flow_size 24B (3) ts 22135
initialized flow 142 (0, -1), src 57 dst 6, flow_size 7834360B (979295) ts 1084000
initialized flow 143 (1, 999), src 53 dst 38, flow_size 1460B (182) ts 31964
initialized flow 144 (1, 999), src 52 dst 25, flow_size 4380B (547) ts 39380
initialized flow 145 (1, 0), src 11 dst 43, flow_size 24B (3) ts 9428
initialized flow 146 (1, 999), src 49 dst 23, flow_size 1460B (182) ts 10574
initialized flow 147 (1, 999), src 62 dst 5, flow_size 2920B (365) ts 21885
initialized flow 148 (1, 999), src 40 dst 19, flow_size 2920B (365) ts 32074
initialized flow 149 (0, -1), src 56 dst 24, flow_size 8760B (1095) ts 1640758
initialized flow 150 (0, -1), src 5 dst 35, flow_size 119720B (14965) ts 1142520
initialized flow 151 (0, -1), src 20 dst 15, flow_size 140160B (17520) ts 1750004
initialized flow 152 (1, 999), src 45 dst 34, flow_size 2920B (365) ts 6281
initialized flow 153 (1, 999), src 37 dst 1, flow_size 1460B (182) ts 9030
initialized flow 154 (0, -1), src 42 dst 5, flow_size 3810600B (476325) ts 1076238
initialized flow 155 (1, 0), src 28 dst 11, flow_size 24B (3) ts 10785
initialized flow 156 (0, -1), src 2 dst 8, flow_size 931480B (116435) ts 559425
initialized flow 157 (1, 0), src 51 dst 28, flow_size 24B (3) ts 28044
initialized flow 158 (1, 0), src 32 dst 14, flow_size 24B (3) ts 45519
initialized flow 159 (1, 999), src 12 dst 47, flow_size 1460B (182) ts 18053
initialized flow 160 (1, 0), src 22 dst 39, flow_size 24B (3) ts 32084
initialized flow 161 (1, 999), src 58 dst 34, flow_size 1460B (182) ts 46453
initialized flow 162 (1, 999), src 38 dst 29, flow_size 8760B (1095) ts 8358
initialized flow 163 (1, 0), src 35 dst 19, flow_size 24B (3) ts 41667
initialized flow 164 (1, 999), src 14 dst 16, flow_size 1460B (182) ts 16586
initialized flow 165 (1, 999), src 10 dst 23, flow_size 5840B (730) ts 1949
initialized flow 166 (0, -1), src 11 dst 5, flow_size 8760B (1095) ts 973462
initialized flow 167 (0, -1), src 55 dst 27, flow_size 46720B (5840) ts 345110
initialized flow 168 (1, 0), src 12 dst 25, flow_size 24B (3) ts 12894
initialized flow 169 (0, -1), src 35 dst 48, flow_size 835120B (104390) ts 23379
initialized flow 170 (1, 0), src 59 dst 41, flow_size 24B (3) ts 10800
