FlowID,Type,Src,Dst,FlowSize,FCT,Slowdown,Xput
395,1,11,29,1464,249,1.16,100.00
808,1,49,25,24,36,1.03,100.00
78,1,10,49,24,38,1.09,100.00
565,1,13,52,24,36,1.03,100.00
2000,1,25,49,1464,219,1.02,100.00
1230,1,14,24,24,36,1.03,100.00
987,1,18,41,1464,249,1.16,100.00
2002,1,52,13,1464,215,1.00,100.00
1142,1,44,25,24,36,1.03,100.00
786,1,1,27,24,36,1.03,100.00
930,1,35,48,24,36,1.03,100.00
116,1,23,59,24,36,1.03,100.00
2001,1,49,10,2920,397,1.00,100.00
2004,1,25,44,1464,215,1.00,100.00
1159,1,2,45,24,36,1.03,100.00
942,1,14,6,1464,249,1.16,100.00
2005,1,27,1,1464,215,1.00,100.00
2007,1,59,23,1464,215,1.00,100.00
728,1,23,41,24,36,1.03,100.00
1147,1,52,26,24,36,1.03,100.00
2006,1,48,35,2920,397,1.00,100.00
279,1,36,1,1464,463,2.16,100.00
946,1,6,47,1464,249,1.16,100.00
1498,1,35,36,24,36,1.03,100.00
969,1,42,49,24,37,1.06,100.00
2008,1,45,2,2920,397,1.00,100.00
2010,1,26,52,1464,215,1.00,100.00
387,1,52,61,24,36,1.03,100.00
2003,1,24,14,5840,763,1.00,100.00
1112,1,42,48,24,35,1.00,100.00
1153,1,24,42,24,304,8.69,100.00
226,1,3,29,24,36,1.03,100.00
1878,1,58,34,24,36,1.03,100.00
2013,1,61,52,1464,215,1.00,100.00
970,1,11,49,2920,654,1.65,100.00
2011,1,36,35,2920,398,1.00,100.00
189,1,56,63,11680,1526,1.02,100.00
2014,1,42,24,1464,215,1.00,100.00
735,1,56,59,24,343,9.80,100.00
2012,1,49,42,2920,401,1.01,100.00
929,1,17,63,24,36,1.03,100.00
973,1,35,61,2920,431,1.09,100.00
816,1,57,36,2920,431,1.09,100.00
899,1,57,55,24,79,2.26,100.00
2015,1,29,3,2920,397,1.00,100.00
515,1,50,26,24,36,1.03,100.00
2018,1,48,42,1464,215,1.00,100.00
2016,1,34,58,2920,397,1.00,100.00
351,1,47,55,1464,253,1.18,100.00
782,1,34,5,24,158,4.51,100.00
2020,1,55,57,1464,215,1.00,100.00
461,1,38,40,24,36,1.03,100.00
1150,1,42,9,24,36,1.03,100.00
2022,1,5,34,1464,215,1.00,100.00
926,1,6,63,2920,431,1.09,100.00
607,1,3,56,24,38,1.09,100.00
2021,1,26,50,2920,397,1.00,100.00
2024,1,9,42,1464,216,1.01,100.00
766,1,3,50,24,38,1.09,100.00
1431,1,42,1,1464,249,1.16,100.00
1758,1,58,5,24,36,1.03,100.00
1608,1,37,39,1464,249,1.16,100.00
1540,1,14,10,4384,615,1.06,100.00
1721,1,52,7,24,36,1.03,100.00
23,1,5,33,2920,497,1.25,100.00
1031,1,11,6,2920,431,1.09,100.00
2025,1,56,3,2920,397,1.00,100.00
2009,1,41,23,13144,1675,1.00,100.00
446,1,0,50,2920,816,2.06,100.00
282,1,46,47,24,36,1.03,100.00
759,1,41,56,24,1279,36.54,100.00
1834,1,20,58,24,39,1.11,100.00
2027,1,7,52,1464,215,1.00,100.00
2026,1,5,58,1464,336,1.57,100.00
1029,1,19,1,24,36,1.03,100.00
99,1,10,12,2920,431,1.09,100.00
225,1,33,56,24,46,1.31,100.00
2031,1,58,20,1464,215,1.00,100.00
197,1,0,7,1464,249,1.16,100.00
54,1,55,40,1464,249,1.16,100.00
790,1,44,35,24,36,1.03,100.00
2028,1,50,3,2920,397,1.00,100.00
2029,1,56,41,2920,397,1.00,100.00
2030,1,47,46,2920,397,1.00,100.00
488,1,13,5,24,36,1.03,100.00
1829,1,30,12,24,36,1.03,100.00
523,1,33,62,1464,286,1.34,100.00
2032,1,1,19,2920,397,1.00,100.00
430,1,50,0,24,36,1.03,100.00
2035,1,5,13,1464,215,1.00,100.00
734,1,16,40,2920,488,1.23,100.00
2034,1,35,44,2920,397,1.00,100.00
2033,1,56,33,2920,591,1.49,100.00
2037,1,0,50,1464,215,1.00,100.00
549,1,12,8,2920,431,1.09,100.00
493,1,31,13,1464,354,1.65,100.00
165,1,10,23,5840,1667,2.19,100.00
309,1,19,20,24,36,1.03,100.00
658,1,3,50,1464,383,1.79,100.00
2036,1,12,30,1464,597,2.79,100.00
348,1,26,33,24,36,1.03,100.00
2039,1,33,26,1464,215,1.00,100.00
706,1,56,49,24,35,1.00,100.00
198,1,48,44,2920,431,1.09,100.00
450,1,33,49,24,211,6.03,100.00
357,1,36,23,2920,1049,2.64,100.00
2038,1,20,19,2920,397,1.00,100.00
1396,1,22,31,1464,249,1.16,100.00
117,1,51,55,2920,431,1.09,100.00
1775,1,51,52,24,168,4.80,100.00
118,1,4,44,1464,583,2.72,100.00
1324,1,35,11,1464,250,1.17,100.00
1236,1,8,25,1464,249,1.16,100.00
1259,1,16,36,24,35,1.00,100.00
883,1,9,3,1464,249,1.16,100.00
2041,1,52,51,1464,215,1.00,100.00
392,1,10,13,24,36,1.03,100.00
366,1,47,26,24,39,1.11,100.00
2042,1,13,10,1464,215,1.00,100.00
884,1,52,42,24,36,1.03,100.00
1729,1,36,33,24,38,1.09,100.00
1751,1,1,26,4384,618,1.07,100.00
1654,1,22,30,24,36,1.03,100.00
1034,1,15,5,1464,249,1.16,100.00
2044,1,42,52,1464,215,1.00,100.00
2045,1,33,36,1464,215,1.00,100.00
2043,1,26,47,2920,397,1.00,100.00
822,1,23,2,1464,249,1.16,100.00
1638,1,9,8,2920,431,1.09,100.00
854,1,7,40,1464,249,1.16,100.00
917,1,33,58,24,35,1.00,100.00
1465,1,3,54,2920,431,1.09,100.00
1517,1,22,14,1464,249,1.16,100.00
1229,1,19,30,24,36,1.03,100.00
363,1,4,3,2920,431,1.09,100.00
1516,1,28,27,24,39,1.11,100.00
813,1,18,62,24,36,1.03,100.00
2046,1,30,22,4384,581,1.00,100.00
598,1,19,25,24,35,1.00,100.00
1762,1,9,10,1464,249,1.16,100.00
1308,1,5,26,4384,614,1.06,100.00
2048,1,27,28,1464,215,1.00,100.00
974,1,4,30,24,36,1.03,100.00
2047,1,30,19,1464,302,1.41,100.00
2049,1,62,18,2920,397,1.00,100.00
452,1,28,16,24,38,1.09,100.00
291,1,10,28,1464,440,2.06,100.00
604,1,27,49,24,35,1.00,100.00
2051,1,25,19,1464,215,1.00,100.00
1719,1,55,47,24,36,1.03,100.00
133,1,15,27,24,43,1.23,100.00
2052,1,16,28,1464,215,1.00,100.00
241,1,5,0,1464,249,1.16,100.00
1549,1,38,10,2920,431,1.09,100.00
2053,1,47,55,1464,215,1.00,100.00
2050,1,30,4,4384,618,1.07,100.00
1865,1,16,54,1464,255,1.19,100.00
591,1,5,1,1464,465,2.17,100.00
1241,1,20,31,1464,249,1.16,100.00
551,1,5,60,24,79,2.26,100.00
2054,1,27,15,2920,397,1.00,100.00
666,1,44,55,1464,451,2.11,100.00
325,1,27,10,24,76,2.17,100.00
1785,1,53,0,1464,249,1.16,100.00
580,1,9,38,24,39,1.11,100.00
1224,1,42,8,24,36,1.03,100.00
152,1,45,34,2920,431,1.09,100.00
730,1,14,10,24,36,1.03,100.00
2056,1,38,9,1464,215,1.00,100.00
563,1,22,39,2920,431,1.09,100.00
1645,1,24,11,24,36,1.03,100.00
258,1,33,6,24,35,1.00,100.00
2057,1,8,42,1464,215,1.00,100.00
2058,1,10,14,1464,215,1.00,100.00
2040,1,49,33,23360,2956,1.00,100.00
91,1,26,29,1464,249,1.16,100.00
1125,1,5,41,2920,431,1.09,100.00
550,1,36,15,1464,250,1.17,100.00
1445,1,58,54,24,36,1.03,100.00
1794,1,15,35,1464,249,1.16,100.00
2060,1,6,33,2920,397,1.00,100.00
968,1,30,1,2920,431,1.09,100.00
696,1,36,26,1464,442,2.07,100.00
760,1,12,33,24,38,1.09,100.00
2061,1,54,58,1464,216,1.01,100.00
323,1,25,42,1464,249,1.16,100.00
533,1,5,31,2920,432,1.09,100.00
326,1,0,10,1464,249,1.16,100.00
1835,1,12,7,24,35,1.00,100.00
586,1,32,14,2920,431,1.09,100.00
427,1,43,24,24,36,1.03,100.00
2063,1,33,12,1464,215,1.00,100.00
514,1,56,59,1464,261,1.22,100.00
466,1,14,24,24,36,1.03,100.00
727,1,31,15,24,36,1.03,100.00
2064,1,24,43,1464,215,1.00,100.00
2065,1,7,12,1464,215,1.00,100.00
81,1,5,28,1464,251,1.17,100.00
2062,1,58,33,4384,584,1.01,100.00
2066,1,24,14,1464,271,1.27,100.00
1444,1,3,2,2920,431,1.09,100.00
558,1,55,10,24,36,1.03,100.00
2067,1,15,31,2920,397,1.00,100.00
1375,1,24,20,24,35,1.00,100.00
1642,1,29,4,2920,431,1.09,100.00
473,1,8,13,1464,249,1.16,100.00
399,1,26,0,24,38,1.09,100.00
522,1,47,33,2920,542,1.37,100.00
1266,1,21,8,2920,432,1.09,100.00
